# These sectors are used for sharing between consumption of domestically produced crops versus imports
region,supplysector,output.unit,input.unit,price.unit,logit.year.fillout,logit.exponent,logit.type
USA,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Eastern,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Northern,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Southern,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Western,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Australia_NZ,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Brazil,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Canada,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Central America and Caribbean,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Central Asia,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
China,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
EU-12,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
EU-15,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Europe_Eastern,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Europe_Non_EU,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
European Free Trade Association,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
India,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Indonesia,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Japan,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Mexico,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Middle East,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Pakistan,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Russia,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
South Africa,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
South America_Northern,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
South America_Southern,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
South Asia,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
South Korea,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Southeast Asia,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Taiwan,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Argentina,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
Colombia,regional corn,Mt,Mt,1975$/kg,1975,-3,NA
USA,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Eastern,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Northern,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Southern,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
Africa_Western,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
Australia_NZ,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
Brazil,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
Canada,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
Central America and Caribbean,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
Central Asia,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
China,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
EU-12,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
EU-15,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
Europe_Eastern,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
Europe_Non_EU,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
European Free Trade Association,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
India,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
Indonesia,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
Japan,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
Mexico,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
Middle East,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
Pakistan,regional fibercrop,Mt,Mt,1975$/kg,1975,-3,NA
