# Only applies to low-income regions
region,supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
USA,traded corn,Africa_Eastern traded corn,share-weight,2015,2150,0,linear
USA,traded corn,Africa_Southern traded corn,share-weight,2015,2150,0,linear
USA,traded corn,Africa_Western traded corn,share-weight,2015,2150,0,linear
USA,traded corn,India traded corn,share-weight,2015,2150,0,linear
USA,traded corn,Pakistan traded corn,share-weight,2015,2150,0,linear
USA,traded corn,South Asia traded corn,share-weight,2015,2150,0,linear
USA,traded fibercrop,Africa_Eastern traded fibercrop,share-weight,2015,2150,0,linear
USA,traded fibercrop,Africa_Southern traded fibercrop,share-weight,2015,2150,0,linear
USA,traded fibercrop,Africa_Western traded fibercrop,share-weight,2015,2150,0,linear
USA,traded fibercrop,India traded fibercrop,share-weight,2015,2150,0,linear
USA,traded fibercrop,Pakistan traded fibercrop,share-weight,2015,2150,0,linear
USA,traded fibercrop,South Asia traded fibercrop,share-weight,2015,2150,0,linear
USA,traded misccrop,Africa_Eastern traded misccrop,share-weight,2015,2150,0,linear
USA,traded misccrop,Africa_Southern traded misccrop,share-weight,2015,2150,0,linear
USA,traded misccrop,Africa_Western traded misccrop,share-weight,2015,2150,0,linear
USA,traded misccrop,India traded misccrop,share-weight,2015,2150,0,linear
USA,traded misccrop,Pakistan traded misccrop,share-weight,2015,2150,0,linear
USA,traded misccrop,South Asia traded misccrop,share-weight,2015,2150,0,linear
USA,traded oilcrop,Africa_Eastern traded oilcrop,share-weight,2015,2150,0,linear
USA,traded oilcrop,Africa_Southern traded oilcrop,share-weight,2015,2150,0,linear
USA,traded oilcrop,Africa_Western traded oilcrop,share-weight,2015,2150,0,linear
USA,traded oilcrop,India traded oilcrop,share-weight,2015,2150,0,linear
USA,traded oilcrop,Pakistan traded oilcrop,share-weight,2015,2150,0,linear
USA,traded oilcrop,South Asia traded oilcrop,share-weight,2015,2150,0,linear
USA,traded othergrain,Africa_Eastern traded othergrain,share-weight,2015,2150,0,linear
USA,traded othergrain,Africa_Southern traded othergrain,share-weight,2015,2150,0,linear
USA,traded othergrain,Africa_Western traded othergrain,share-weight,2015,2150,0,linear
USA,traded othergrain,India traded othergrain,share-weight,2015,2150,0,linear
USA,traded othergrain,Pakistan traded othergrain,share-weight,2015,2150,0,linear
USA,traded othergrain,South Asia traded othergrain,share-weight,2015,2150,0,linear
USA,traded palmfruit,Africa_Eastern traded palmfruit,share-weight,2015,2150,0,linear
USA,traded palmfruit,Africa_Southern traded palmfruit,share-weight,2015,2150,0,linear
USA,traded palmfruit,Africa_Western traded palmfruit,share-weight,2015,2150,0,linear
USA,traded palmfruit,India traded palmfruit,share-weight,2015,2150,0,linear
USA,traded palmfruit,Pakistan traded palmfruit,share-weight,2015,2150,0,linear
USA,traded palmfruit,South Asia traded palmfruit,share-weight,2015,2150,0,linear
USA,traded rice,Africa_Eastern traded rice,share-weight,2015,2150,0,linear
USA,traded rice,Africa_Southern traded rice,share-weight,2015,2150,0,linear
USA,traded rice,Africa_Western traded rice,share-weight,2015,2150,0,linear
USA,traded rice,India traded rice,share-weight,2015,2150,0,linear
USA,traded rice,Pakistan traded rice,share-weight,2015,2150,0,linear
USA,traded rice,South Asia traded rice,share-weight,2015,2150,0,linear
USA,traded root_tuber,Africa_Eastern traded root_tuber,share-weight,2015,2150,0,linear
USA,traded root_tuber,Africa_Southern traded root_tuber,share-weight,2015,2150,0,linear
USA,traded root_tuber,Africa_Western traded root_tuber,share-weight,2015,2150,0,linear
USA,traded root_tuber,India traded root_tuber,share-weight,2015,2150,0,linear
USA,traded root_tuber,Pakistan traded root_tuber,share-weight,2015,2150,0,linear
USA,traded root_tuber,South Asia traded root_tuber,share-weight,2015,2150,0,linear
USA,traded sugarcrop,Africa_Eastern traded sugarcrop,share-weight,2015,2150,0,linear
USA,traded sugarcrop,Africa_Southern traded sugarcrop,share-weight,2015,2150,0,linear
USA,traded sugarcrop,Africa_Western traded sugarcrop,share-weight,2015,2150,0,linear
USA,traded sugarcrop,India traded sugarcrop,share-weight,2015,2150,0,linear
USA,traded sugarcrop,Pakistan traded sugarcrop,share-weight,2015,2150,0,linear
USA,traded sugarcrop,South Asia traded sugarcrop,share-weight,2015,2150,0,linear
USA,traded wheat,Africa_Eastern traded wheat,share-weight,2015,2150,0,linear
USA,traded wheat,Africa_Southern traded wheat,share-weight,2015,2150,0,linear
USA,traded wheat,Africa_Western traded wheat,share-weight,2015,2150,0,linear
USA,traded wheat,India traded wheat,share-weight,2015,2150,0,linear
USA,traded wheat,Pakistan traded wheat,share-weight,2015,2150,0,linear
USA,traded wheat,South Asia traded wheat,share-weight,2015,2150,0,linear
USA,traded beef,Africa_Eastern traded beef,share-weight,2015,2150,0,linear
USA,traded beef,Africa_Southern traded beef,share-weight,2015,2150,0,linear
USA,traded beef,Africa_Western traded beef,share-weight,2015,2150,0,linear
USA,traded beef,India traded beef,share-weight,2015,2150,0,linear
USA,traded beef,Pakistan traded beef,share-weight,2015,2150,0,linear
USA,traded beef,South Asia traded beef,share-weight,2015,2150,0,linear
USA,traded dairy,Africa_Eastern traded dairy,share-weight,2015,2150,0,linear
USA,traded dairy,Africa_Southern traded dairy,share-weight,2015,2150,0,linear
USA,traded dairy,Africa_Western traded dairy,share-weight,2015,2150,0,linear
USA,traded dairy,India traded dairy,share-weight,2015,2150,0,linear
USA,traded dairy,Pakistan traded dairy,share-weight,2015,2150,0,linear
USA,traded dairy,South Asia traded dairy,share-weight,2015,2150,0,linear
USA,traded pork,Africa_Eastern traded pork,share-weight,2015,2150,0,linear
USA,traded pork,Africa_Southern traded pork,share-weight,2015,2150,0,linear
USA,traded pork,Africa_Western traded pork,share-weight,2015,2150,0,linear
USA,traded pork,India traded pork,share-weight,2015,2150,0,linear
USA,traded pork,Pakistan traded pork,share-weight,2015,2150,0,linear
USA,traded pork,South Asia traded pork,share-weight,2015,2150,0,linear
USA,traded poultry,Africa_Eastern traded poultry,share-weight,2015,2150,0,linear
USA,traded poultry,Africa_Southern traded poultry,share-weight,2015,2150,0,linear
USA,traded poultry,Africa_Western traded poultry,share-weight,2015,2150,0,linear
USA,traded poultry,India traded poultry,share-weight,2015,2150,0,linear
USA,traded poultry,Pakistan traded poultry,share-weight,2015,2150,0,linear
USA,traded poultry,South Asia traded poultry,share-weight,2015,2150,0,linear
USA,traded sheepgoat,Africa_Eastern traded sheepgoat,share-weight,2015,2150,0,linear
USA,traded sheepgoat,Africa_Southern traded sheepgoat,share-weight,2015,2150,0,linear
USA,traded sheepgoat,Africa_Western traded sheepgoat,share-weight,2015,2150,0,linear
USA,traded sheepgoat,India traded sheepgoat,share-weight,2015,2150,0,linear
USA,traded sheepgoat,Pakistan traded sheepgoat,share-weight,2015,2150,0,linear
USA,traded sheepgoat,South Asia traded sheepgoat,share-weight,2015,2150,0,linear
