# Only applies to low-income regions
region,supplysector,output.unit,input.unit,price.unit,logit.year.fillout,logit.exponent,logit.type
Africa_Eastern,regional corn,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Southern,regional corn,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Western,regional corn,Mt,Mt,1975$/kg,1975,-1.5,NA
India,regional corn,Mt,Mt,1975$/kg,1975,-1.5,NA
Pakistan,regional corn,Mt,Mt,1975$/kg,1975,-1.5,NA
South Asia,regional corn,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Eastern,regional fibercrop,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Southern,regional fibercrop,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Western,regional fibercrop,Mt,Mt,1975$/kg,1975,-1.5,NA
India,regional fibercrop,Mt,Mt,1975$/kg,1975,-1.5,NA
Pakistan,regional fibercrop,Mt,Mt,1975$/kg,1975,-1.5,NA
South Asia,regional fibercrop,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Eastern,regional misccrop,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Southern,regional misccrop,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Western,regional misccrop,Mt,Mt,1975$/kg,1975,-1.5,NA
India,regional misccrop,Mt,Mt,1975$/kg,1975,-1.5,NA
Pakistan,regional misccrop,Mt,Mt,1975$/kg,1975,-1.5,NA
South Asia,regional misccrop,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Eastern,regional oilcrop,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Southern,regional oilcrop,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Western,regional oilcrop,Mt,Mt,1975$/kg,1975,-1.5,NA
India,regional oilcrop,Mt,Mt,1975$/kg,1975,-1.5,NA
Pakistan,regional oilcrop,Mt,Mt,1975$/kg,1975,-1.5,NA
South Asia,regional oilcrop,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Eastern,regional othergrain,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Southern,regional othergrain,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Western,regional othergrain,Mt,Mt,1975$/kg,1975,-1.5,NA
India,regional othergrain,Mt,Mt,1975$/kg,1975,-1.5,NA
Pakistan,regional othergrain,Mt,Mt,1975$/kg,1975,-1.5,NA
South Asia,regional othergrain,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Eastern,regional palmfruit,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Southern,regional palmfruit,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Western,regional palmfruit,Mt,Mt,1975$/kg,1975,-1.5,NA
India,regional palmfruit,Mt,Mt,1975$/kg,1975,-1.5,NA
Pakistan,regional palmfruit,Mt,Mt,1975$/kg,1975,-1.5,NA
South Asia,regional palmfruit,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Eastern,regional rice,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Southern,regional rice,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Western,regional rice,Mt,Mt,1975$/kg,1975,-1.5,NA
India,regional rice,Mt,Mt,1975$/kg,1975,-1.5,NA
Pakistan,regional rice,Mt,Mt,1975$/kg,1975,-1.5,NA
South Asia,regional rice,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Eastern,regional root_tuber,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Southern,regional root_tuber,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Western,regional root_tuber,Mt,Mt,1975$/kg,1975,-1.5,NA
India,regional root_tuber,Mt,Mt,1975$/kg,1975,-1.5,NA
Pakistan,regional root_tuber,Mt,Mt,1975$/kg,1975,-1.5,NA
South Asia,regional root_tuber,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Eastern,regional sugarcrop,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Southern,regional sugarcrop,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Western,regional sugarcrop,Mt,Mt,1975$/kg,1975,-1.5,NA
India,regional sugarcrop,Mt,Mt,1975$/kg,1975,-1.5,NA
Pakistan,regional sugarcrop,Mt,Mt,1975$/kg,1975,-1.5,NA
South Asia,regional sugarcrop,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Eastern,regional wheat,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Southern,regional wheat,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Western,regional wheat,Mt,Mt,1975$/kg,1975,-1.5,NA
India,regional wheat,Mt,Mt,1975$/kg,1975,-1.5,NA
Pakistan,regional wheat,Mt,Mt,1975$/kg,1975,-1.5,NA
South Asia,regional wheat,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Eastern,regional beef,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Southern,regional beef,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Western,regional beef,Mt,Mt,1975$/kg,1975,-1.5,NA
India,regional beef,Mt,Mt,1975$/kg,1975,-1.5,NA
Pakistan,regional beef,Mt,Mt,1975$/kg,1975,-1.5,NA
South Asia,regional beef,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Eastern,regional dairy,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Southern,regional dairy,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Western,regional dairy,Mt,Mt,1975$/kg,1975,-1.5,NA
India,regional dairy,Mt,Mt,1975$/kg,1975,-1.5,NA
Pakistan,regional dairy,Mt,Mt,1975$/kg,1975,-1.5,NA
South Asia,regional dairy,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Eastern,regional pork,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Southern,regional pork,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Western,regional pork,Mt,Mt,1975$/kg,1975,-1.5,NA
India,regional pork,Mt,Mt,1975$/kg,1975,-1.5,NA
Pakistan,regional pork,Mt,Mt,1975$/kg,1975,-1.5,NA
South Asia,regional pork,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Eastern,regional poultry,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Southern,regional poultry,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Western,regional poultry,Mt,Mt,1975$/kg,1975,-1.5,NA
India,regional poultry,Mt,Mt,1975$/kg,1975,-1.5,NA
Pakistan,regional poultry,Mt,Mt,1975$/kg,1975,-1.5,NA
South Asia,regional poultry,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Eastern,regional sheepgoat,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Southern,regional sheepgoat,Mt,Mt,1975$/kg,1975,-1.5,NA
Africa_Western,regional sheepgoat,Mt,Mt,1975$/kg,1975,-1.5,NA
India,regional sheepgoat,Mt,Mt,1975$/kg,1975,-1.5,NA
Pakistan,regional sheepgoat,Mt,Mt,1975$/kg,1975,-1.5,NA
South Asia,regional sheepgoat,Mt,Mt,1975$/kg,1975,-1.5,NA
